rtime,src,dst,sp,dp,size,tag
212302,13,11,40794,36950,7018221,3
212305,21,23,33319,45279,919803,82
212305,23,22,33319,45279,919769,82
212307,23,21,33319,45279,917869,82
212309,22,21,33319,45279,918548,82
212316,21,23,33319,45279,918137,82
212323,23,22,33319,45279,919269,82
212325,22,23,33319,45279,917802,82
212326,22,21,33319,45279,916041,82
212328,23,21,33319,45279,918447,82
212329,21,23,33319,45279,916294,82
212329,21,22,33319,45279,919270,82
212335,23,22,33319,45279,917515,82
212346,21,22,33319,45279,914336,82
212350,22,23,33319,45279,913813,82
212351,22,21,33319,45279,916939,82
212364,23,21,33319,45279,915181,82
212371,22,23,33319,45279,917656,82
213125,12,13,40794,36950,11447916,1
213180,33,31,29683,19940,826099,112
213180,31,32,29683,19940,821552,112
213181,33,32,29683,19940,826661,112
213203,31,33,29683,19940,822382,112
213222,32,31,29683,19940,828484,112
213222,33,31,29683,19940,823715,112
213227,33,32,29683,19940,822622,112
213228,32,31,29683,19940,823161,112
213234,32,33,29683,19940,825804,112
213241,12,13,40794,36950,11433073,1
213243,32,33,29683,19940,822777,112
213246,32,31,29683,19940,823454,112
213248,31,32,29683,19940,826352,112
213257,33,31,29683,19940,825298,112
213257,31,32,29683,19940,825178,112
213261,32,31,29683,19940,824531,112
213262,32,33,29683,19940,819616,112
213269,31,32,29683,19940,825434,112
213272,32,33,29683,19940,824641,112
213272,31,33,29683,19940,821016,112
213272,33,32,29683,19940,822338,112
213280,33,31,29683,19940,825632,112
213289,31,33,29683,19940,824238,112
213289,33,32,29683,19940,823217,112
213300,31,33,29683,19940,824422,112
213344,51,53,19852,31175,919057,97
213356,52,53,19852,31175,919375,97
213392,53,51,19852,31175,917583,97
213392,52,51,19852,31175,922135,97
213398,52,53,19852,31175,919836,97
213399,51,53,19852,31175,916163,97
213412,52,51,19852,31175,916096,97
213413,52,53,19852,31175,922140,97
213414,53,51,19852,31175,920586,97
213416,51,53,19852,31175,919659,97
213430,52,53,19852,31175,920279,97
213431,53,51,19852,31175,916927,97
213435,52,51,19852,31175,914465,97
213436,51,53,19852,31175,916715,97
213449,52,51,19852,31175,916823,97
213452,53,51,19852,31175,920843,97
213633,51,52,19852,31175,919648,97
213639,53,52,19852,31175,918265,97
213672,22,23,33319,45279,918383,82
213672,21,23,33319,45279,919054,82
213707,22,23,33319,45279,915797,82
213709,21,23,33319,45279,917654,82
213709,51,52,19852,31175,921663,97
213724,22,21,33319,45279,919203,82
213727,23,21,33319,45279,920673,82
213729,22,23,33319,45279,916783,82
213735,53,52,19852,31175,919133,97
213736,21,23,33319,45279,918116,82
213743,23,21,33319,45279,918822,82
213747,22,23,33319,45279,922449,82
213749,22,21,33319,45279,921324,82
213759,21,23,33319,45279,920141,82
213799,22,21,33319,45279,918094,82
213802,23,21,33319,45279,917287,82
213821,22,21,33319,45279,917340,82
213825,23,21,33319,45279,916931,82
213827,51,52,19852,31175,922394,97
213832,53,52,19852,31175,921085,97
213849,21,22,33319,45279,917790,82
213862,23,22,33319,45279,919875,82
213877,51,52,19852,31175,918931,97
213883,53,52,19852,31175,917249,97
213913,43,42,52093,45763,2480048,116
213933,41,42,52093,45763,2484937,116
213947,21,22,33319,45279,919296,82
213949,23,22,33319,45279,919486,82
214002,21,22,33319,45279,924194,82
214005,23,22,33319,45279,919660,82
214078,21,22,33319,45279,919407,82
214085,23,22,33319,45279,915232,82
214096,41,42,52093,45763,2487740,116
214131,43,42,52093,45763,2480182,116
214159,41,42,52093,45763,2476593,116
214190,43,42,52093,45763,2477588,116
214328,43,41,52093,45763,2489024,116
214409,43,41,52093,45763,2488563,116
214429,33,31,29683,19940,822369,112
214445,33,31,29683,19940,822773,112
214449,42,41,52093,45763,2482587,116
214467,33,31,29683,19940,824604,112
214473,32,31,29683,19940,823865,112
214473,43,41,52093,45763,2481308,116
214475,33,31,29683,19940,824830,112
214480,42,41,52093,45763,2482020,116
214486,32,31,29683,19940,824200,112
214499,32,31,29683,19940,826046,112
214511,32,31,29683,19940,825364,112
214515,42,41,52093,45763,2479710,116
214537,43,42,52093,45763,2479758,116
214539,31,32,29683,19940,823318,112
214541,33,32,29683,19940,821316,112
214549,31,33,29683,19940,825733,112
214555,42,41,52093,45763,2491201,116
214558,41,42,52093,45763,2484780,116
214562,43,41,52093,45763,2485028,116
214581,31,33,29683,19940,824604,112
214589,31,32,29683,19940,828347,112
214590,33,32,29683,19940,824316,112
214594,32,33,29683,19940,823576,112
214614,33,32,29683,19940,826109,112
214614,31,32,29683,19940,823874,112
214625,32,33,29683,19940,826896,112
214645,31,33,29683,19940,825640,112
214654,31,33,29683,19940,825317,112
214676,33,32,29683,19940,824329,112
214677,31,32,29683,19940,827158,112
214688,51,53,19852,31175,916540,97
214695,52,53,19852,31175,919026,97
214699,32,33,29683,19940,825263,112
214705,52,53,19852,31175,915627,97
214706,51,53,19852,31175,919240,97
214714,32,33,29683,19940,823029,112
214716,52,53,19852,31175,918087,97
214719,52,51,19852,31175,920863,97
214724,53,51,19852,31175,918015,97
214737,53,51,19852,31175,919329,97
214743,52,51,19852,31175,920610,97
214749,53,51,19852,31175,916735,97
214755,52,51,19852,31175,918427,97
214825,52,51,19852,31175,915848,97
214859,53,51,19852,31175,918992,97
214867,52,53,19852,31175,918539,97
214891,13,12,40794,36950,7032810,3
214891,51,53,19852,31175,917005,97
214908,51,53,19852,31175,916366,97
214951,13,12,40794,36950,7029321,3
214960,22,21,33319,45279,920559,82
214962,23,21,33319,45279,920050,82
214963,41,43,52093,45763,2478309,116
214976,22,21,33319,45279,919660,82
214978,23,21,33319,45279,921210,82
214985,41,43,52093,45763,2487060,116
214990,21,23,33319,45279,918826,82
214990,22,23,33319,45279,918262,82
215005,41,43,52093,45763,2491390,116
215040,21,23,33319,45279,918987,82
215041,22,23,33319,45279,917794,82
215061,22,21,33319,45279,917578,82
215063,23,21,33319,45279,917491,82
215082,51,52,19852,31175,917253,97
215088,53,52,19852,31175,920273,97
215096,22,23,33319,45279,917871,82
215096,21,23,33319,45279,915391,82
215100,23,21,33319,45279,914490,82
215101,22,21,33319,45279,918643,82
215106,42,43,52093,45763,2481310,116
215116,21,23,33319,45279,915832,82
215117,22,23,33319,45279,919300,82
215130,42,43,52093,45763,2480335,116
215150,41,43,52093,45763,2483799,116
215157,42,43,52093,45763,2480436,116
215214,12,13,40794,36950,7617222,3
215219,42,43,52093,45763,2481981,116
215308,51,52,19852,31175,912719,97
215340,21,22,33319,45279,914480,82
215344,23,22,33319,45279,920896,82
215349,53,52,19852,31175,917483,97
215399,12,13,40794,36950,7613382,3
215496,51,52,19852,31175,915658,97
215500,53,52,19852,31175,917108,97
215516,51,52,19852,31175,918587,97
215520,53,52,19852,31175,917261,97
215555,21,22,33319,45279,916712,82
215558,23,22,33319,45279,915314,82
215570,21,22,33319,45279,916134,82
215630,23,22,33319,45279,917384,82
215635,33,31,29683,19940,821752,112
215663,33,31,29683,19940,822988,112
215675,32,31,29683,19940,822970,112
215691,13,12,40794,36950,11434306,1
215696,33,31,29683,19940,824060,112
215707,32,31,29683,19940,825296,112
215709,33,31,29683,19940,825545,112
215717,32,31,29683,19940,823782,112
215729,31,33,29683,19940,822926,112
215737,32,31,29683,19940,825814,112
215757,23,22,33319,45279,918394,82
215758,21,22,33319,45279,916170,82
215771,31,33,29683,19940,825064,112
215774,32,33,29683,19940,824155,112
215816,32,33,29683,19940,826326,112
215821,31,33,29683,19940,823283,112
215825,31,32,29683,19940,827331,112
215829,33,32,29683,19940,823981,112
215841,31,33,29683,19940,820775,112
215865,32,33,29683,19940,822952,112
215865,13,12,40794,36950,11470060,1
215887,33,32,29683,19940,823744,112
215887,31,32,29683,19940,825417,112
215890,32,33,29683,19940,825556,112
215900,33,32,29683,19940,823693,112
215904,31,32,29683,19940,823209,112
216116,31,32,29683,19940,824318,112
216116,33,32,29683,19940,823986,112
216546,12,13,40794,36950,11437887,1
216980,52,53,19852,31175,1378166,98
216980,52,51,19852,31175,1378531,98
216981,51,52,19852,31175,1382276,98
216981,51,53,19852,31175,1385077,98
216987,53,52,19852,31175,1379218,98
216989,53,51,19852,31175,1382626,98
217000,51,52,19852,31175,1380913,98
217004,52,53,19852,31175,1380494,98
217007,51,53,19852,31175,1380431,98
217009,53,51,19852,31175,1377801,98
217015,53,52,19852,31175,1377923,98
217023,12,13,40794,36950,11448380,1
217028,52,51,19852,31175,1379698,98
217035,51,52,19852,31175,1382076,98
217041,51,53,19852,31175,1382771,98
217043,53,51,19852,31175,1383789,98
217054,53,51,19852,31175,1385243,98
217054,51,53,19852,31175,1381286,98
217072,52,53,19852,31175,1376606,98
217084,52,51,19852,31175,1387861,98
217093,51,52,19852,31175,1381092,98
217100,53,52,19852,31175,1383091,98
217103,52,53,19852,31175,1380984,98
217106,52,51,19852,31175,1386207,98
217146,53,52,19852,31175,1382514,98
217322,11,13,40794,36950,6447842,3
217325,11,12,40794,36950,6450418,3
217329,12,11,40794,36950,7618359,3
217348,31,33,29683,19940,1238680,113
217358,33,31,29683,19940,1244663,113
217361,33,32,29683,19940,1244002,113
217363,31,32,29683,19940,1239952,113
217374,33,31,29683,19940,1243547,113
217392,33,31,29683,19940,1243661,113
217392,32,33,29683,19940,1237632,113
217400,33,32,29683,19940,1241266,113
217403,32,31,29683,19940,1238291,113
217412,33,31,29683,19940,1239169,113
217428,31,33,29683,19940,1234635,113
217429,32,31,29683,19940,1245636,113
217432,11,13,40794,36950,6439592,3
217433,11,12,40794,36950,6455353,3
217434,22,21,33319,45279,1383849,83
217436,23,21,33319,45279,1378667,83
217437,22,23,33319,45279,1376563,83
217438,21,23,33319,45279,1382331,83
217443,33,32,29683,19940,1238897,113
217448,21,22,33319,45279,1378728,83
217451,23,22,33319,45279,1383059,83
217452,23,21,33319,45279,1380254,83
217456,31,33,29683,19940,1241223,113
217459,22,23,33319,45279,1379361,83
217466,21,23,33319,45279,1380683,83
217468,22,21,33319,45279,1382003,83
217469,31,33,29683,19940,1240879,113
217472,32,31,29683,19940,1239213,113
217472,23,21,33319,45279,1384253,83
217473,31,32,29683,19940,1242275,113
217476,32,33,29683,19940,1245476,113
217477,33,32,29683,19940,1237068,113
217478,21,22,33319,45279,1385142,83
217487,23,22,33319,45279,1380661,83
217493,22,23,33319,45279,1381236,83
217494,32,31,29683,19940,1237682,113
217500,22,21,33319,45279,1380145,83
217501,31,32,29683,19940,1237227,113
217502,32,33,29683,19940,1234856,113
217505,21,23,33319,45279,1378358,83
217505,23,21,33319,45279,1382791,83
217513,21,22,33319,45279,1379513,83
217516,31,32,29683,19940,1243176,113
217521,22,23,33319,45279,1380922,83
217526,23,22,33319,45279,1381425,83
217530,21,23,33319,45279,1383471,83
217534,32,33,29683,19940,1241156,113
217537,21,22,33319,45279,1383142,83
217542,11,12,40794,36950,11456842,1
217549,22,21,33319,45279,1380651,83
217556,11,13,40794,36950,11440473,1
217600,23,22,33319,45279,1381041,83
217720,11,12,40794,36950,11424327,1
217801,12,11,40794,36950,11453917,1
217813,13,11,40794,36950,11443541,1
217876,43,41,52093,45763,1097821,117
217892,43,42,52093,45763,1098586,117
217894,43,41,52093,45763,1099986,117
217910,42,41,52093,45763,1100671,117
217910,41,42,52093,45763,1098772,117
217912,11,13,40794,36950,11440645,1
217925,41,42,52093,45763,1098470,117
217926,13,11,40794,36950,11449217,1
217927,41,43,52093,45763,1101719,117
217937,42,43,52093,45763,1101390,117
217945,41,42,52093,45763,1097075,117
217950,42,43,52093,45763,1103032,117
217955,41,42,52093,45763,1102640,117
217960,42,43,52093,45763,1102328,117
217972,43,41,52093,45763,1101507,117
217972,41,43,52093,45763,1097763,117
217973,42,43,52093,45763,1101700,117
217992,42,41,52093,45763,1096125,117
217995,41,43,52093,45763,1102600,117
218000,42,41,52093,45763,1098814,117
218000,43,41,52093,45763,1094517,117
218003,43,42,52093,45763,1099821,117
218010,41,43,52093,45763,1101882,117
218019,42,41,52093,45763,1098150,117
218031,43,42,52093,45763,1099369,117
218045,43,42,52093,45763,1101318,117
218128,12,11,40794,36950,11446792,1
218279,51,53,19852,31175,1382887,98
218279,52,53,19852,31175,1383155,98
218302,52,53,19852,31175,1386755,98
218304,52,51,19852,31175,1386444,98
218307,51,53,19852,31175,1382036,98
218308,53,51,19852,31175,1380446,98
218324,13,11,40794,36950,11436671,1
218329,52,53,19852,31175,1385963,98
218338,52,51,19852,31175,1381167,98
218344,53,51,19852,31175,1385706,98
218344,51,53,19852,31175,1380562,98
218350,52,53,19852,31175,1382423,98
218383,52,51,19852,31175,1380342,98
218398,52,51,19852,31175,1377575,98
218415,53,51,19852,31175,1385600,98
218415,51,53,19852,31175,1378241,98
218421,51,52,19852,31175,1383843,98
218427,53,52,19852,31175,1381176,98
218438,53,51,19852,31175,1379734,98
218505,12,11,40794,36950,11424391,1
218616,33,31,29683,19940,1238890,113
218641,33,31,29683,19940,1238211,113
218649,51,52,19852,31175,1387435,98
218649,32,31,29683,19940,1242140,113
218654,53,52,19852,31175,1383091,98
218659,31,33,29683,19940,1242564,113
218660,32,31,29683,19940,1240110,113
218663,33,31,29683,19940,1241718,113
218666,33,32,29683,19940,1238184,113
218668,31,32,29683,19940,1238730,113
218677,51,52,19852,31175,1387434,98
218679,33,31,29683,19940,1241368,113
218683,53,52,19852,31175,1386793,98
218691,32,31,29683,19940,1242571,113
218694,31,32,29683,19940,1239795,113
218699,31,33,29683,19940,1238926,113
218702,32,33,29683,19940,1238883,113
218712,53,52,19852,31175,1381417,98
218714,22,21,33319,45279,1385434,83
218716,31,32,29683,19940,1245158,113
218717,23,21,33319,45279,1381404,83
218718,33,32,29683,19940,1243119,113
218722,32,31,29683,19940,1241802,113
218727,32,33,29683,19940,1245524,113
218728,31,33,29683,19940,1243133,113
218729,51,52,19852,31175,1381351,98
218753,32,33,29683,19940,1242698,113
218758,22,23,33319,45279,1383112,83
218759,21,23,33319,45279,1383529,83
218760,31,33,29683,19940,1242005,113
218770,22,21,33319,45279,1385198,83
218773,32,33,29683,19940,1238878,113
218774,23,21,33319,45279,1384487,83
218775,31,32,29683,19940,1245849,113
218787,22,23,33319,45279,1379387,83
218789,21,23,33319,45279,1380775,83
218798,33,32,29683,19940,1242351,113
218798,22,21,33319,45279,1379792,83
218803,23,21,33319,45279,1379497,83
218811,33,32,29683,19940,1239610,113
218813,21,23,33319,45279,1381736,83
218819,22,23,33319,45279,1378616,83
218834,22,21,33319,45279,1381993,83
218865,23,21,33319,45279,1380273,83
218899,22,23,33319,45279,1387313,83
218906,21,23,33319,45279,1382484,83
219051,21,22,33319,45279,1380972,83
219054,23,22,33319,45279,1382320,83
219094,21,22,33319,45279,1382415,83
219097,23,22,33319,45279,1384285,83
219134,21,22,33319,45279,1390632,83
219137,23,22,33319,45279,1384063,83
219216,21,22,33319,45279,1382284,83
219219,23,22,33319,45279,1378673,83
219314,13,12,40794,36950,7029340,3
219329,11,12,40794,36950,6443939,3
219399,43,42,52093,45763,1103638,117
219420,41,42,52093,45763,1102506,117
219442,43,42,52093,45763,1099763,117
219458,43,41,52093,45763,1100537,117
219460,41,42,52093,45763,1103237,117
219476,43,41,52093,45763,1100537,117
219491,43,41,52093,45763,1099912,117
219492,42,41,52093,45763,1100449,117
219512,43,41,52093,45763,1099703,117
219514,42,41,52093,45763,1096155,117
219526,11,12,40794,36950,6447594,3
219527,42,41,52093,45763,1101383,117
219550,42,41,52093,45763,1102276,117
219555,51,53,19852,31175,1381672,98
219555,52,53,19852,31175,1379682,98
219577,41,43,52093,45763,1099203,117
219579,52,53,19852,31175,1383595,98
219579,51,53,19852,31175,1380306,98
219581,52,51,19852,31175,1386776,98
219587,53,51,19852,31175,1381277,98
219590,42,43,52093,45763,1101535,117
219607,41,43,52093,45763,1096372,117
219609,43,42,52093,45763,1100663,117
219619,42,43,52093,45763,1098951,117
219633,41,42,52093,45763,1103296,117
219635,41,43,52093,45763,1102729,117
219635,51,53,19852,31175,1378654,98
219635,52,53,19852,31175,1382399,98
219658,42,43,52093,45763,1096803,117
219660,51,53,19852,31175,1381555,98
219660,41,43,52093,45763,1099808,117
219664,52,51,19852,31175,1385737,98
219676,42,43,52093,45763,1102827,117
219680,52,53,19852,31175,1382204,98
219684,53,51,19852,31175,1385548,98
219687,52,51,19852,31175,1383817,98
219703,53,51,19852,31175,1379970,98
219729,52,51,19852,31175,1381302,98
219733,53,51,19852,31175,1384066,98
219739,43,42,52093,45763,1096724,117
219752,33,31,29683,19940,1236883,113
219760,41,42,52093,45763,1100005,117
219773,33,31,29683,19940,1239531,113
219797,32,31,29683,19940,1237951,113
219818,32,31,29683,19940,1239951,113
219841,33,31,29683,19940,1240658,113
219872,33,31,29683,19940,1242216,113
219885,32,31,29683,19940,1241012,113
219916,32,31,29683,19940,1241800,113
219939,33,32,29683,19940,1241259,113
219941,31,32,29683,19940,1243067,113
219956,31,32,29683,19940,1244136,113
219964,33,32,29683,19940,1240244,113
219966,22,21,33319,45279,1384941,83
219969,23,21,33319,45279,1383119,83
219986,33,32,29683,19940,1238370,113
219988,31,32,29683,19940,1237366,113
220013,51,52,19852,31175,1381007,98
220018,53,52,19852,31175,1385035,98
220038,31,33,29683,19940,1240077,113
220039,21,23,33319,45279,1383773,83
220049,22,23,33319,45279,1383649,83
220064,31,33,29683,19940,1239945,113
220089,31,32,29683,19940,1239279,113
220089,33,32,29683,19940,1241296,113
220092,32,33,29683,19940,1239827,113
220100,31,33,29683,19940,1239520,113
220112,32,33,29683,19940,1238876,113
220131,22,21,33319,45279,1384055,83
220134,23,21,33319,45279,1387311,83
220145,32,33,29683,19940,1244568,113
220153,22,23,33319,45279,1381063,83
220153,21,23,33319,45279,1384481,83
220162,22,21,33319,45279,1382069,83
220166,23,21,33319,45279,1381759,83
220177,22,23,33319,45279,1382428,83
220187,23,21,33319,45279,1377021,83
220192,22,21,33319,45279,1383849,83
220199,21,23,33319,45279,1378305,83
220221,21,23,33319,45279,1379322,83
220222,22,23,33319,45279,1383055,83
220300,31,33,29683,19940,1236981,113
220301,51,52,19852,31175,1374573,98
220307,53,52,19852,31175,1380888,98
220325,53,52,19852,31175,1381164,98
220327,51,52,19852,31175,1376648,98
220348,53,52,19852,31175,1381387,98
220351,32,33,29683,19940,1241686,113
220369,51,52,19852,31175,1380853,98
220671,21,22,33319,45279,1377873,83
220674,23,22,33319,45279,1385393,83
220710,21,22,33319,45279,1378801,83
220713,23,22,33319,45279,1378120,83
220733,21,22,33319,45279,1378944,83
220751,23,22,33319,45279,1379810,83
220839,21,22,33319,45279,1379282,83
220848,23,22,33319,45279,1381587,83
220982,42,41,52093,45763,1098448,117
220998,42,41,52093,45763,1098826,117
221000,41,42,52093,45763,1100436,117
221002,43,42,52093,45763,1101354,117
221003,43,41,52093,45763,1101413,117
221012,42,41,52093,45763,1102397,117
221020,43,41,52093,45763,1098580,117
221027,42,41,52093,45763,1096132,117
221031,43,41,52093,45763,1099004,117
221041,43,41,52093,45763,1099560,117
221151,41,43,52093,45763,1098151,117
221162,42,43,52093,45763,1098664,117
221177,41,43,52093,45763,1096049,117
221190,42,43,52093,45763,1097895,117
221208,41,43,52093,45763,1097170,117
221214,43,42,52093,45763,1099742,117
221220,42,43,52093,45763,1104568,117
221221,41,43,52093,45763,1098764,117
221228,41,42,52093,45763,1103670,117
221244,43,42,52093,45763,1097547,117
221246,41,42,52093,45763,1100561,117
221307,42,43,52093,45763,1102637,117
221402,43,42,52093,45763,1095001,117
221420,41,42,52093,45763,1095836,117
221496,33,31,29683,19940,1239515,114
221524,33,31,29683,19940,1244052,114
221527,31,33,29683,19940,1240960,114
221539,31,33,29683,19940,1238866,114
221541,32,31,29683,19940,1238256,114
221550,31,33,29683,19940,1241715,114
221561,32,31,29683,19940,1239549,114
221563,31,32,29683,19940,1237528,114
221564,33,32,29683,19940,1239769,114
221582,12,11,40794,36950,7619853,3
221588,32,33,29683,19940,1241152,114
221593,33,31,29683,19940,1244027,114
221598,31,33,29683,19940,1235126,114
221607,31,32,29683,19940,1240538,114
221619,33,31,29683,19940,1245027,114
221623,32,31,29683,19940,1245955,114
221629,32,33,29683,19940,1237911,114
221631,33,32,29683,19940,1243802,114
221647,32,31,29683,19940,1238553,114
221648,12,11,40794,36950,7620313,3
221649,32,33,29683,19940,1234741,114
221650,33,32,29683,19940,1237458,114
221660,33,32,29683,19940,1241427,114
221670,32,33,29683,19940,1246101,114
221685,31,32,29683,19940,1243849,114
221696,31,32,29683,19940,1242790,114
221716,12,11,40794,36950,7609783,3
221928,52,51,19852,31175,1382873,99
221933,53,51,19852,31175,1382584,99
221935,51,52,19852,31175,1379912,99
221936,53,52,19852,31175,1385486,99
221937,52,53,19852,31175,1381048,99
221938,51,53,19852,31175,1381072,99
221953,52,51,19852,31175,1382815,99
221959,51,52,19852,31175,1380441,99
221974,53,52,19852,31175,1383392,99
221977,53,51,19852,31175,1383452,99
221977,52,51,19852,31175,1379653,99
221982,51,53,19852,31175,1382894,99
221994,52,51,19852,31175,1383784,99
222000,51,53,19852,31175,1381307,99
222004,52,53,19852,31175,1376616,99
222012,53,52,19852,31175,1383887,99
222024,51,53,19852,31175,1385013,99
222027,53,52,19852,31175,1377659,99
222045,52,53,19852,31175,1381906,99
222058,52,53,19852,31175,1378685,99
222087,53,51,19852,31175,1379847,99
222115,53,51,19852,31175,1378042,99
222197,51,52,19852,31175,1381580,99
222212,51,52,19852,31175,1385290,99
222224,13,11,40794,36950,7038664,3
222296,13,12,40794,36950,7032209,3
222346,13,11,40794,36950,7039847,3
222365,51,53,19852,31175,1384229,99
222365,52,53,19852,31175,1386888,99
222381,33,31,29683,19940,1242578,114
222394,52,53,19852,31175,1381323,99
222409,13,11,40794,36950,7035025,3
222409,33,31,29683,19940,1238423,114
222418,21,22,33319,45279,1379550,84
222423,21,23,33319,45279,1382338,84
222424,52,53,19852,31175,1378048,99
222424,23,22,33319,45279,1381881,84
222424,51,53,19852,31175,1385481,99
222425,22,23,33319,45279,1382139,84
222426,32,31,29683,19940,1242971,114
222426,33,31,29683,19940,1239227,114
222428,22,21,33319,45279,1381555,84
222439,23,21,33319,45279,1382526,84
222439,52,53,19852,31175,1383294,99
222444,32,31,29683,19940,1240246,114
222446,21,23,33319,45279,1378576,84
222451,21,22,33319,45279,1385333,84
222451,22,21,33319,45279,1381761,84
222452,33,31,29683,19940,1241388,114
222452,23,22,33319,45279,1383562,84
222459,22,23,33319,45279,1381065,84
222462,51,53,19852,31175,1381062,99
222465,21,23,33319,45279,1382720,84
222467,52,51,19852,31175,1380494,99
222469,32,31,29683,19940,1242378,114
222470,53,51,19852,31175,1386011,99
222472,22,21,33319,45279,1380188,84
222474,23,22,33319,45279,1381045,84
222477,31,33,29683,19940,1242670,114
222484,33,32,29683,19940,1241866,114
222484,21,22,33319,45279,1378763,84
222484,31,32,29683,19940,1239272,114
222485,21,23,33319,45279,1382232,84
222487,32,31,29683,19940,1242293,114
222489,51,52,19852,31175,1387882,99
222490,22,23,33319,45279,1384380,84
222492,53,52,19852,31175,1383592,99
222494,22,21,33319,45279,1376991,84
222494,53,51,19852,31175,1385220,99
222504,23,22,33319,45279,1381498,84
222511,31,32,29683,19940,1243625,114
222512,51,52,19852,31175,1383409,99
222514,53,51,19852,31175,1381852,99
222516,33,32,29683,19940,1251215,114
222521,22,23,33319,45279,1380083,84
222521,21,22,33319,45279,1383791,84
222522,32,33,29683,19940,1238979,114
222525,31,32,29683,19940,1242246,114
222530,53,51,19852,31175,1381670,99
222531,31,33,29683,19940,1245818,114
222533,51,52,19852,31175,1387917,99
222536,52,51,19852,31175,1387343,99
222537,23,21,33319,45279,1380553,84
222539,51,53,19852,31175,1383281,99
222540,33,32,29683,19940,1239943,114
222540,53,52,19852,31175,1381363,99
222546,31,32,29683,19940,1245637,114
222550,23,21,33319,45279,1386205,84
222561,31,33,29683,19940,1239272,114
222561,52,51,19852,31175,1386363,99
222561,23,21,33319,45279,1385369,84
222566,53,52,19852,31175,1386858,99
222567,51,52,19852,31175,1381598,99
222580,52,51,19852,31175,1382469,99
222581,32,33,29683,19940,1242723,114
222582,31,33,29683,19940,1239895,114
222599,32,33,29683,19940,1243570,114
222614,32,33,29683,19940,1242067,114
222618,33,32,29683,19940,1242244,114
222623,51,53,19852,31175,1385539,99
222641,52,53,19852,31175,1386855,99
222656,53,52,19852,31175,1381108,99
222666,51,53,19852,31175,1383157,99
222674,52,53,19852,31175,1386037,99
222718,51,53,19852,31175,1380332,99
222722,52,53,19852,31175,1384024,99
222735,51,53,19852,31175,1385747,99
222750,52,53,19852,31175,1381816,99
222756,52,51,19852,31175,1383915,99
222761,53,51,19852,31175,1384535,99
222794,53,51,19852,31175,1379047,99
222795,52,51,19852,31175,1379849,99
222835,21,23,33319,45279,1384437,84
222837,22,23,33319,45279,1385709,84
222846,22,21,33319,45279,1379668,84
222851,23,21,33319,45279,1378243,84
222857,22,23,33319,45279,1385022,84
222875,23,21,33319,45279,1386400,84
222882,22,21,33319,45279,1379131,84
222883,22,23,33319,45279,1383358,84
222888,52,53,19852,31175,1382414,99
222888,51,53,19852,31175,1379178,99
222896,23,21,33319,45279,1383834,84
222900,43,42,52093,45763,1659824,118
222903,43,41,52093,45763,1662389,118
222914,22,21,33319,45279,1388126,84
222919,41,42,52093,45763,1664214,118
222933,21,22,33319,45279,1383419,84
222936,23,22,33319,45279,1379619,84
222939,41,43,52093,45763,1655915,118
222939,51,53,19852,31175,1382420,99
222940,52,53,19852,31175,1382164,99
222940,42,41,52093,45763,1660016,118
222941,41,42,52093,45763,1655599,118
222947,43,41,52093,45763,1658860,118
222948,42,43,52093,45763,1664086,118
222962,41,42,52093,45763,1658993,118
222970,42,43,52093,45763,1665471,118
222982,42,41,52093,45763,1654897,118
222986,21,22,33319,45279,1386590,84
222989,43,41,52093,45763,1653958,118
222991,42,43,52093,45763,1664206,118
222992,41,42,52093,45763,1659601,118
222994,52,51,19852,31175,1380973,99
222997,21,22,33319,45279,1381349,84
222999,53,51,19852,31175,1385356,99
223000,41,43,52093,45763,1661885,118
223010,43,41,52093,45763,1656593,118
223014,42,43,52093,45763,1664011,118
223031,42,41,52093,45763,1656662,118
223039,43,42,52093,45763,1660140,118
223040,41,43,52093,45763,1663343,118
223061,43,42,52093,45763,1661925,118
223068,41,43,52093,45763,1663702,118
223073,42,41,52093,45763,1662604,118
223078,22,23,33319,45279,1386490,84
223086,21,23,33319,45279,1379256,84
223087,53,51,19852,31175,1381215,99
223087,52,51,19852,31175,1385206,99
223090,43,42,52093,45763,1659678,118
223091,51,53,19852,31175,1380964,99
223095,52,53,19852,31175,1383544,99
223101,21,23,33319,45279,1383808,84
223112,53,51,19852,31175,1381481,99
223112,21,23,33319,45279,1383110,84
223121,52,51,19852,31175,1379635,99
223159,23,22,33319,45279,1380555,84
223179,23,22,33319,45279,1382624,84
223190,22,21,33319,45279,1387243,84
223196,23,21,33319,45279,1384686,84
223264,22,21,33319,45279,1387578,84
223267,23,21,33319,45279,1378400,84
223290,23,21,33319,45279,1383524,84
223290,22,21,33319,45279,1385421,84
223297,33,31,29683,19940,1236829,114
223305,11,13,40794,36950,6452894,3
223340,22,21,33319,45279,1384288,84
223341,32,31,29683,19940,1238640,114
223343,23,21,33319,45279,1387724,84
223356,22,23,33319,45279,1382128,84
223369,21,23,33319,45279,1380721,84
223375,12,13,40794,36950,7603342,3
223389,22,23,33319,45279,1384415,84
223389,21,23,33319,45279,1384271,84
223390,33,32,29683,19940,1239921,114
223391,31,32,29683,19940,1239069,114
223399,31,33,29683,19940,1237219,114
223399,21,22,33319,45279,1385222,84
223403,23,22,33319,45279,1383061,84
223407,33,32,29683,19940,1241586,114
223413,21,23,33319,45279,1378631,84
223416,33,31,29683,19940,1239477,114
